,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,set
2057,-0.22,0.9250000000000002,-0.20566666666666666,4.756,-0.04860000000000007,9.1828,7
2058,-0.186,0.9445,-0.2175,-0.24359999999999998,-6.4512,13.1952,7
2059,-0.14466666666666667,0.951,-0.17433333333333334,-8.7196,-3.2194000000000003,17.1098,7
2060,-0.08,0.952,-0.14700000000000002,-12.305,3.9513999999999996,20.7196,7
2061,-0.034999999999999996,0.9223333333333333,-0.10566666666666667,-11.4512,4.8904,22.561,7
2062,0.026000000000000002,0.8634999999999999,-0.10200000000000001,10.1586,-1.7196000000000002,3.3293999999999997,7
2063,0.05466666666666667,0.975,-0.11699999999999999,1.3778,-0.19500000000000006,1.2196,7
2064,0.055,0.978,-0.119,-1.7439999999999998,-1.4514,-1.9148,7
2065,0.03866666666666667,0.9676666666666667,-0.09999999999999999,-0.21939999999999996,-4.9756,-3.8658,7
2066,0.018500000000000003,0.9724999999999999,-0.083,0.7924,-1.8536000000000001,0.622,7
2067,0.019666666666666666,0.9703333333333334,-0.07966666666666666,-1.9270000000000003,0.5851999999999999,-2.0246000000000004,7
2068,0.0095,0.9575,-0.088,4.1462,-2.5607999999999995,3.5974000000000004,7
2069,0.021,0.966,-0.108,2.7434999999999996,0.5485,-2.8354999999999997,7
2070,-0.005,0.9684999999999999,-0.097,2.0732,-2.2074,-0.9756,16
2071,-0.009000000000000001,0.9259999999999999,-0.10200000000000001,10.2804,-1.4632,-11.6586,16
2072,-0.03966666666666666,0.8246666666666668,-0.17333333333333334,22.8902,-9.1952,-18.9024,16
2073,-0.10400000000000001,0.893,-0.217,15.4512,-10.2438,-5.0854,16
2074,-0.14233333333333334,0.9203333333333333,-0.231,-4.7438,-14.524599999999998,8.3052,16
2075,-0.129,0.9510000000000001,-0.2,-10.9024,-19.6586,14.378199999999998,16
2076,-0.15633333333333332,1.3323333333333334,-0.143,-3.7683999999999997,12.878200000000001,-17.8902,16
2077,-0.176,0.9445,-0.131,-2.1338,9.2318,-17.7196,16
2078,-0.19333333333333333,0.9359999999999999,-0.18533333333333335,10.3536,3.122,4.0976,16
2079,-0.182,0.9305,-0.173,-2.5732000000000004,0.34120000000000006,9.317,16
2080,-0.14733333333333334,0.9476666666666667,-0.18233333333333335,-16.4998,1.8294000000000001,20.7316,16
2081,-0.08299999999999999,0.9635,-0.1205,-18.9758,12.8292,23.5486,16
2082,-0.021666666666666667,0.7766666666666667,-0.11499999999999999,11.768199999999998,-15.500200000000001,0.34140000000000015,16
2083,-0.0335,1.0125,-0.1175,4.6952,-4.1708,-1.0366,16
